number	time	x	y	set z	touch	laser	machineZLocation
37.0	19:16:38	87.13	158.15	222.5	26.785	16.714	26.514
37.0	19:17:00	87.13	158.15	222.5	26.783	16.719	26.519
37.0	19:17:22	87.13	158.15	222.5	26.807	16.74	26.54
37.0	19:17:43	87.13	158.15	222.5	26.813	16.743	26.543
37.0	19:18:05	87.13	158.15	222.5	26.837	16.775	26.575
37.0	19:18:31	87.13	158.15	222.5	26.866	16.784	26.584
37.0	19:18:52	87.13	158.15	222.5	26.887	16.81	26.61
37.0	19:19:14	87.13	158.15	222.5	26.918	16.853	26.653
37.0	19:19:35	87.13	158.15	222.5	26.928	16.842	26.642
37.0	19:20:01	87.13	158.15	222.5	26.955	16.873	26.673
44.6666666667	19:20:26	87.13	158.15	222.5	26.731	16.731	26.531
44.6666666667	19:20:51	87.13	158.15	222.5	26.749	16.748	26.548
44.6666666667	19:21:15	87.13	158.15	222.5	26.753	16.753	26.553
44.6666666667	19:21:40	87.13	158.15	222.5	26.785	16.785	26.585
44.6666666667	19:22:04	87.13	158.15	222.5	26.791	16.791	26.591
44.6666666667	19:22:26	87.13	158.15	222.5	26.862	16.792	26.592
44.6666666667	19:22:50	87.13	158.15	222.5	26.854	16.853	26.653
44.6666666667	19:23:12	87.13	158.15	222.5	26.907	16.851	26.651
44.6666666667	19:23:33	87.13	158.15	222.5	26.923	16.852	26.652
44.6666666667	19:23:55	87.13	158.15	222.5	26.952	16.902	26.702
52.3333333333	19:24:17	87.13	158.15	222.5	26.767	16.718	26.518
52.3333333333	19:24:42	87.13	158.15	222.5	26.768	16.767	26.567
52.3333333333	19:25:06	87.13	158.15	222.5	26.76	16.76	26.56
52.3333333333	19:25:28	87.13	158.15	222.5	26.822	16.766	26.566
52.3333333333	19:25:49	87.13	158.15	222.5	26.84	16.788	26.588
52.3333333333	19:26:11	87.13	158.15	222.5	26.87	16.801	26.601
52.3333333333	19:26:33	87.13	158.15	222.5	26.887	16.835	26.635
52.3333333333	19:26:54	87.13	158.15	222.5	26.917	16.852	26.652
52.3333333333	19:27:16	87.13	158.15	222.5	26.923	16.842	26.642
52.3333333333	19:27:37	87.13	158.15	222.5	26.948	16.874	26.674
60.0	19:28:00	87.13	158.15	222.5	26.758	16.691	26.491
60.0	19:28:21	87.13	158.15	222.5	26.787	16.743	26.543
60.0	19:28:46	87.13	158.15	222.5	26.8	16.799	26.599
60.0	19:29:10	87.13	158.15	222.5	26.799	16.798	26.598
60.0	19:29:32	87.13	158.15	222.5	26.849	16.786	26.586
60.0	19:29:53	87.13	158.15	222.5	26.882	16.805	26.605
60.0	19:30:15	87.13	158.15	222.5	26.897	16.821	26.621
60.0	19:30:36	87.13	158.15	222.5	26.925	16.874	26.674
60.0	19:31:02	87.13	158.15	222.5	26.931	16.849	26.649
60.0	19:31:28	87.13	158.15	222.5	26.953	16.871	26.671
67.6666666667	19:31:50	87.13	158.15	222.5	26.787	16.719	26.519
67.6666666667	19:32:16	87.13	158.15	222.5	26.807	16.725	26.525
67.6666666667	19:32:41	87.13	158.15	222.5	26.782	16.717	26.517
67.6666666667	19:33:03	87.13	158.15	222.5	26.862	16.78	26.58
67.6666666667	19:33:24	87.13	158.15	222.5	26.877	16.791	26.591
67.6666666667	19:33:50	87.13	158.15	222.5	26.888	16.806	26.606
67.6666666667	19:34:15	87.13	158.15	222.5	26.905	16.823	26.623
67.6666666667	19:34:41	87.13	158.15	222.5	26.93	16.848	26.648
67.6666666667	19:35:06	87.13	158.15	222.5	26.933	16.851	26.651
67.6666666667	19:35:32	87.13	158.15	222.5	26.96	16.878	26.678
75.3333333333	19:35:55	87.13	158.15	222.5	26.772	16.71	26.51
75.3333333333	19:36:16	87.13	158.15	222.5	26.802	16.72	26.52
75.3333333333	19:36:38	87.13	158.15	222.5	26.823	16.766	26.566
75.3333333333	19:36:59	87.13	158.15	222.5	26.849	16.787	26.587
75.3333333333	19:37:21	87.13	158.15	222.5	26.858	16.795	26.595
75.3333333333	19:37:46	87.13	158.15	222.5	26.894	16.812	26.612
75.3333333333	19:38:08	87.13	158.15	222.5	26.923	16.844	26.644
75.3333333333	19:38:29	87.13	158.15	222.5	26.95	16.873	26.673
75.3333333333	19:38:55	87.13	158.15	222.5	26.941	16.859	26.659
75.3333333333	19:39:20	87.13	158.15	222.5	26.953	16.871	26.671
83.0	19:39:47	87.13	158.15	222.5	26.748	16.666	26.466
83.0	19:40:12	87.13	158.15	222.5	26.766	16.684	26.484
83.0	19:40:34	87.13	158.15	222.5	26.808	16.732	26.532
83.0	19:41:00	87.13	158.15	222.5	26.811	16.729	26.529
83.0	19:41:25	87.13	158.15	222.5	26.836	16.754	26.554
83.0	19:41:47	87.13	158.15	222.5	26.896	16.805	26.605
83.0	19:42:13	87.13	158.15	222.5	26.868	16.786	26.586
83.0	19:42:38	87.13	158.15	222.5	26.912	16.83	26.63
83.0	19:43:04	87.13	158.15	222.5	26.937	16.855	26.655
83.0	19:43:26	87.13	158.15	222.5	26.973	16.834	26.634
90.6666666667	19:43:49	87.13	158.15	222.5	26.737	16.659	26.459
90.6666666667	19:44:10	87.13	158.15	222.5	26.777	16.71	26.51
90.6666666667	19:44:32	87.13	158.15	222.5	26.812	16.742	26.542
90.6666666667	19:44:53	87.13	158.15	222.5	26.847	16.759	26.559
90.6666666667	19:45:19	87.13	158.15	222.5	26.855	16.773	26.573
90.6666666667	19:45:45	87.13	158.15	222.5	26.863	16.781	26.581
90.6666666667	19:46:06	87.13	158.15	222.5	26.903	16.837	26.637
90.6666666667	19:46:32	87.13	158.15	222.5	26.916	16.834	26.634
90.6666666667	19:46:57	87.13	158.15	222.5	26.937	16.855	26.655
90.6666666667	19:47:23	87.13	158.15	222.5	26.956	16.874	26.674
98.3333333333	19:47:49	87.13	158.15	222.5	26.701	16.619	26.419
98.3333333333	19:48:11	87.13	158.15	222.5	26.762	16.684	26.484
98.3333333333	19:48:35	87.13	158.15	222.5	26.747	16.746	26.546
98.3333333333	19:48:57	87.13	158.15	222.5	26.828	16.77	26.57
98.3333333333	19:49:18	87.13	158.15	222.5	26.859	16.784	26.584
98.3333333333	19:49:44	87.13	158.15	222.5	26.851	16.769	26.569
98.3333333333	19:50:10	87.13	158.15	222.5	26.898	16.816	26.616
98.3333333333	19:50:35	87.13	158.15	222.5	26.926	16.845	26.645
98.3333333333	19:51:01	87.13	158.15	222.5	26.931	16.85	26.65
98.3333333333	19:51:23	87.13	158.15	222.5	26.984	16.848	26.648
106.0	19:51:46	87.13	158.15	222.5	26.686	16.634	26.434
106.0	19:52:07	87.13	158.15	222.5	26.737	16.667	26.467
106.0	19:52:29	87.13	158.15	222.5	26.777	16.691	26.491
106.0	19:52:54	87.13	158.15	222.5	26.808	16.726	26.526
106.0	19:53:16	87.13	158.15	222.5	26.846	16.76	26.56
106.0	19:53:37	87.13	158.15	222.5	26.882	16.795	26.595
106.0	19:53:59	87.13	158.15	222.5	26.897	16.833	26.633
106.0	19:54:24	87.13	158.15	222.5	26.916	16.834	26.634
106.0	19:54:50	87.13	158.15	222.5	26.937	16.855	26.655
106.0	19:55:15	87.13	158.15	222.5	26.946	16.865	26.665
