number	time	x	y	set z	touch	laser	machineZLocation
37.0	22:56:49	87.13	158.15	222.5	27.29	17.204	27.004
37.0	22:57:11	87.13	158.15	222.5	27.306	17.232	27.032
37.0	22:57:36	87.13	158.15	222.5	27.307	17.225	27.025
37.0	22:57:58	87.13	158.15	222.5	27.349	17.274	27.074
37.0	22:58:22	87.13	158.15	222.5	27.335	17.335	27.135
37.0	22:58:48	87.13	158.15	222.5	27.364	17.282	27.082
37.0	22:59:13	87.13	158.15	222.5	27.378	17.296	27.096
37.0	22:59:39	87.13	158.15	222.5	27.419	17.337	27.137
37.0	23:00:04	87.13	158.15	222.5	27.423	17.341	27.141
37.0	23:00:27	87.13	158.15	222.5	27.495	17.35	27.15
44.6666666667	23:00:52	87.13	158.15	222.5	27.242	17.242	27.042
44.6666666667	23:01:14	87.13	158.15	222.5	27.305	17.231	27.031
44.6666666667	23:01:35	87.13	158.15	222.5	27.312	17.258	27.058
44.6666666667	23:01:57	87.13	158.15	222.5	27.335	17.279	27.079
44.6666666667	23:02:18	87.13	158.15	222.5	27.342	17.285	27.085
44.6666666667	23:02:40	87.13	158.15	222.5	27.375	17.321	27.121
44.6666666667	23:03:02	87.13	158.15	222.5	27.38	17.326	27.126
44.6666666667	23:03:27	87.13	158.15	222.5	27.403	17.321	27.121
44.6666666667	23:03:49	87.13	158.15	222.5	27.439	17.354	27.154
44.6666666667	23:04:14	87.13	158.15	222.5	27.438	17.356	27.156
52.3333333333	23:04:37	87.13	158.15	222.5	27.29	17.208	27.008
52.3333333333	23:05:02	87.13	158.15	222.5	27.307	17.225	27.025
52.3333333333	23:05:24	87.13	158.15	222.5	27.32	17.24	27.04
52.3333333333	23:05:45	87.13	158.15	222.5	27.345	17.271	27.071
52.3333333333	23:06:08	87.13	158.15	222.5	27.355	17.221	27.021
52.3333333333	23:06:33	87.13	158.15	222.5	27.369	17.287	27.087
52.3333333333	23:06:59	87.13	158.15	222.5	27.363	17.281	27.081
52.3333333333	23:07:24	87.13	158.15	222.5	27.405	17.323	27.123
52.3333333333	23:07:50	87.13	158.15	222.5	27.413	17.331	27.131
52.3333333333	23:08:16	87.13	158.15	222.5	27.459	17.377	27.177
60.0	23:08:38	87.13	158.15	222.5	27.299	17.249	27.049
60.0	23:09:04	87.13	158.15	222.5	27.291	17.209	27.009
60.0	23:09:25	87.13	158.15	222.5	27.329	17.252	27.052
60.0	23:09:47	87.13	158.15	222.5	27.354	17.27	27.07
60.0	23:10:12	87.13	158.15	222.5	27.334	17.252	27.052
60.0	23:10:38	87.13	158.15	222.5	27.378	17.296	27.096
60.0	23:11:03	87.13	158.15	222.5	27.398	17.316	27.116
60.0	23:11:25	87.13	158.15	222.5	27.442	17.356	27.156
60.0	23:11:51	87.13	158.15	222.5	27.456	17.374	27.174
60.0	23:12:17	87.13	158.15	222.5	27.493	17.411	27.211
67.6666666667	23:12:43	87.13	158.15	222.5	27.278	17.196	26.996
67.6666666667	23:13:05	87.13	158.15	222.5	27.335	17.263	27.063
67.6666666667	23:13:27	87.13	158.15	222.5	27.355	17.221	27.021
67.6666666667	23:13:50	87.13	158.15	222.5	27.38	17.223	27.023
67.6666666667	23:14:12	87.13	158.15	222.5	27.394	17.254	27.054
67.6666666667	23:14:38	87.13	158.15	222.5	27.389	17.307	27.107
67.6666666667	23:15:00	87.13	158.15	222.5	27.434	17.291	27.091
67.6666666667	23:15:26	87.13	158.15	222.5	27.461	17.379	27.179
67.6666666667	23:15:49	87.13	158.15	222.5	27.489	17.337	27.137
67.6666666667	23:16:11	87.13	158.15	222.5	27.52	17.353	27.153
75.3333333333	23:16:38	87.13	158.15	222.5	27.286	17.204	27.004
75.3333333333	23:17:03	87.13	158.15	222.5	27.294	17.212	27.012
75.3333333333	23:17:29	87.13	158.15	222.5	27.308	17.226	27.026
75.3333333333	23:17:51	87.13	158.15	222.5	27.379	17.233	27.033
75.3333333333	23:18:17	87.13	158.15	222.5	27.353	17.271	27.071
75.3333333333	23:18:39	87.13	158.15	222.5	27.424	17.289	27.089
75.3333333333	23:19:05	87.13	158.15	222.5	27.416	17.335	27.135
75.3333333333	23:19:27	87.13	158.15	222.5	27.46	17.322	27.122
75.3333333333	23:19:50	87.13	158.15	222.5	27.494	17.344	27.144
75.3333333333	23:20:12	87.13	158.15	222.5	27.529	17.365	27.165
83.0	23:20:36	87.13	158.15	222.5	27.295	17.147	26.947
83.0	23:20:59	87.13	158.15	222.5	27.33	17.182	26.982
83.0	23:21:21	87.13	158.15	222.5	27.342	17.175	26.975
83.0	23:21:44	87.13	158.15	222.5	27.369	17.229	27.029
83.0	23:22:09	87.13	158.15	222.5	27.353	17.271	27.071
83.0	23:22:34	87.13	158.15	222.5	27.395	17.313	27.113
83.0	23:22:57	87.13	158.15	222.5	27.425	17.292	27.092
83.0	23:23:19	87.13	158.15	222.5	27.45	17.299	27.099
83.0	23:23:45	87.13	158.15	222.5	27.466	17.303	27.103
83.0	23:24:12	87.13	158.15	222.5	27.507	17.344	27.144
90.6666666667	23:24:34	87.13	158.15	222.5	27.305	17.223	27.023
90.6666666667	23:24:59	87.13	158.15	222.5	27.293	17.211	27.011
90.6666666667	23:25:21	87.13	158.15	222.5	27.344	17.261	27.061
90.6666666667	23:25:46	87.13	158.15	222.5	27.324	17.242	27.042
90.6666666667	23:26:12	87.13	158.15	222.5	27.354	17.272	27.072
90.6666666667	23:26:37	87.13	158.15	222.5	27.389	17.307	27.107
90.6666666667	23:27:02	87.13	158.15	222.5	27.381	17.299	27.099
90.6666666667	23:27:25	87.13	158.15	222.5	27.464	17.301	27.101
90.6666666667	23:27:47	87.13	158.15	222.5	27.485	17.346	27.146
90.6666666667	23:28:14	87.13	158.15	222.5	27.517	17.354	27.154
98.3333333333	23:28:40	87.13	158.15	222.5	27.271	17.189	26.989
98.3333333333	23:29:02	87.13	158.15	222.5	27.335	17.194	26.994
98.3333333333	23:29:24	87.13	158.15	222.5	27.346	17.264	27.064
98.3333333333	23:29:49	87.13	158.15	222.5	27.331	17.249	27.049
98.3333333333	23:30:11	87.13	158.15	222.5	27.395	17.228	27.028
98.3333333333	23:30:37	87.13	158.15	222.5	27.378	17.296	27.096
98.3333333333	23:31:02	87.13	158.15	222.5	27.389	17.307	27.107
98.3333333333	23:31:29	87.13	158.15	222.5	27.441	17.278	27.078
98.3333333333	23:31:54	87.13	158.15	222.5	27.48	17.398	27.198
98.3333333333	23:32:16	87.13	158.15	222.5	27.542	17.391	27.191
106.0	23:32:43	87.13	158.15	222.5	27.292	17.21	27.01
106.0	23:33:08	87.13	158.15	222.5	27.303	17.221	27.021
106.0	23:33:30	87.13	158.15	222.5	27.33	17.279	27.079
106.0	23:33:55	87.13	158.15	222.5	27.351	17.269	27.069
106.0	23:34:16	87.13	158.15	222.5	27.375	17.289	27.089
106.0	23:34:42	87.13	158.15	222.5	27.399	17.317	27.117
106.0	23:35:03	87.13	158.15	222.5	27.429	17.364	27.164
106.0	23:35:25	87.13	158.15	222.5	27.464	17.378	27.178
106.0	23:35:50	87.13	158.15	222.5	27.454	17.372	27.172
106.0	23:36:15	87.13	158.15	222.5	27.511	17.429	27.229
