number	time	x	y	set z	touch	laser	machineZLocation
0	16:58:53	87.13	158.15	222.5	22.678	12.571	22.071
1	16:59:23	87.13	158.15	222.5	22.654	12.547	22.047
2	16:59:53	87.13	158.15	222.5	22.636	12.529	22.029
3	17:00:20	87.13	158.15	222.5	22.696	12.513	22.013
4	17:00:48	87.13	158.15	222.5	22.696	12.53	22.03
5	17:01:14	87.13	158.15	222.5	22.696	12.498	21.998
6	17:01:41	87.13	158.15	222.5	22.696	12.495	21.995
7	17:02:12	87.13	158.15	222.5	22.673	12.484	21.984
8	17:02:43	87.13	158.15	222.5	22.665	12.48	21.98
9	17:03:14	87.13	158.15	222.5	22.671	12.482	21.982
10	17:03:45	87.13	158.15	222.5	22.67	12.481	21.981
11	17:04:11	87.13	158.15	222.5	22.695	12.494	21.994
12	17:04:38	87.13	158.15	222.5	22.696	12.512	22.012
13	17:05:05	87.13	158.15	222.5	22.696	12.52	22.02
14	17:05:32	87.13	158.15	222.5	22.687	12.525	22.025
15	17:05:59	87.13	158.15	222.5	22.701	12.521	22.021
16	17:06:26	87.13	158.15	222.5	22.701	12.513	22.013
17	17:06:53	87.13	158.15	222.5	22.701	12.503	22.003
18	17:07:20	87.13	158.15	222.5	22.701	12.505	22.005
19	17:07:47	87.13	158.15	222.5	22.701	12.515	22.015
20	17:08:13	87.13	158.15	222.5	22.701	12.519	22.019
21	17:08:40	87.13	158.15	222.5	22.699	12.509	22.009
22	17:09:07	87.13	158.15	222.5	22.701	12.509	22.009
23	17:09:35	87.13	158.15	222.5	22.699	12.507	22.007
24	17:10:01	87.13	158.15	222.5	22.687	12.501	22.001
25	17:10:28	87.13	158.15	222.5	22.687	12.501	22.001
26	17:10:55	87.13	158.15	222.5	22.687	12.501	22.001
27	17:11:22	87.13	158.15	222.5	22.687	12.51	22.01
28	17:11:49	87.13	158.15	222.5	22.687	12.512	22.012
29	17:12:16	87.13	158.15	222.5	22.699	12.516	22.016
30	17:12:42	87.13	158.15	222.5	22.687	12.512	22.012
31	17:13:09	87.13	158.15	222.5	22.698	12.512	22.012
32	17:13:37	87.13	158.15	222.5	22.698	12.512	22.012
33	17:14:04	87.13	158.15	222.5	22.687	12.515	22.015
34	17:14:31	87.13	158.15	222.5	22.687	12.514	22.014
35	17:14:59	87.13	158.15	222.5	22.696	12.51	22.01
36	17:15:26	87.13	158.15	222.5	22.696	12.514	22.014
37	17:15:53	87.13	158.15	222.5	22.696	12.518	22.018
38	17:16:19	87.13	158.15	222.5	22.695	12.508	22.008
39	17:16:46	87.13	158.15	222.5	22.696	12.511	22.011
40	17:17:14	87.13	158.15	222.5	22.696	12.515	22.015
41	17:17:40	87.13	158.15	222.5	22.696	12.52	22.02
42	17:18:07	87.13	158.15	222.5	22.696	12.529	22.029
43	17:18:37	87.13	158.15	222.5	22.639	12.532	22.032
44	17:19:07	87.13	158.15	222.5	22.64	12.533	22.033
45	17:19:37	87.13	158.15	222.5	22.648	12.541	22.041
46	17:20:07	87.13	158.15	222.5	22.645	12.538	22.038
47	17:20:33	87.13	158.15	222.5	22.696	12.541	22.041
48	17:21:03	87.13	158.15	222.5	22.655	12.548	22.048
49	17:21:33	87.13	158.15	222.5	22.654	12.547	22.047
50	17:22:03	87.13	158.15	222.5	22.658	12.551	22.051
51	17:22:33	87.13	158.15	222.5	22.66	12.553	22.053
52	17:23:03	87.13	158.15	222.5	22.661	12.554	22.054
53	17:23:33	87.13	158.15	222.5	22.661	12.554	22.054
54	17:24:03	87.13	158.15	222.5	22.66	12.555	22.055
55	17:24:32	87.13	158.15	222.5	22.66	12.555	22.055
56	17:25:02	87.13	158.15	222.5	22.66	12.555	22.055
57	17:25:32	87.13	158.15	222.5	22.663	12.556	22.056
58	17:26:01	87.13	158.15	222.5	22.66	12.555	22.055
59	17:26:31	87.13	158.15	222.5	22.649	12.557	22.057
60	17:27:01	87.13	158.15	222.5	22.663	12.556	22.056
61	17:27:31	87.13	158.15	222.5	22.663	12.556	22.056
62	17:28:00	87.13	158.15	222.5	22.665	12.558	22.058
63	17:28:30	87.13	158.15	222.5	22.651	12.556	22.056
64	17:29:00	87.13	158.15	222.5	22.665	12.558	22.058
65	17:29:30	87.13	158.15	222.5	22.665	12.56	22.06
66	17:30:00	87.13	158.15	222.5	22.666	12.559	22.059
67	17:30:31	87.13	158.15	222.5	22.665	12.558	22.058
68	17:31:01	87.13	158.15	222.5	22.665	12.558	22.058
69	17:31:31	87.13	158.15	222.5	22.663	12.556	22.056
70	17:32:01	87.13	158.15	222.5	22.661	12.554	22.054
71	17:32:31	87.13	158.15	222.5	22.656	12.549	22.049
72	17:33:01	87.13	158.15	222.5	22.655	12.548	22.048
