number	time	x	y	set z	touch	laser
0	15:48:16	87.13	158.15	222.5	22.741	10.522
1	15:48:33	87.13	158.15	222.5	22.723	10.528
2	15:48:54	87.13	158.15	222.5	22.674	10.517
3	15:49:11	87.13	158.15	222.5	22.718	10.516
4	15:49:31	87.13	158.15	222.5	22.674	10.522
5	15:49:48	87.13	158.15	222.5	22.719	10.524
6	15:50:06	87.13	158.15	222.5	22.718	10.527
7	15:50:24	87.13	158.15	222.5	22.719	10.526
8	15:50:41	87.13	158.15	222.5	22.718	10.524
9	15:50:59	87.13	158.15	222.5	22.718	10.525
10	15:51:16	87.13	158.15	222.5	22.718	10.525
11	15:51:33	87.13	158.15	222.5	22.719	10.524
12	15:51:50	87.13	158.15	222.5	22.718	10.525
13	15:52:11	87.13	158.15	222.5	22.674	10.526
14	15:52:31	87.13	158.15	222.5	22.674	10.526
15	15:52:48	87.13	158.15	222.5	22.719	10.526
16	15:53:06	87.13	158.15	222.5	22.718	10.527
17	15:53:23	87.13	158.15	222.5	22.718	10.525
18	15:53:44	87.13	158.15	222.5	22.715	10.528
19	15:54:01	87.13	158.15	222.5	22.718	10.528
20	15:54:19	87.13	158.15	222.5	22.716	10.525
21	15:54:36	87.13	158.15	222.5	22.716	10.529
22	15:54:57	87.13	158.15	222.5	22.675	10.526
23	15:55:17	87.13	158.15	222.5	22.674	10.525
24	15:55:37	87.13	158.15	222.5	22.674	10.525
25	15:55:58	87.13	158.15	222.5	22.674	10.522
26	15:56:18	87.13	158.15	222.5	22.674	10.523
27	15:56:35	87.13	158.15	222.5	22.716	10.523
28	15:56:53	87.13	158.15	222.5	22.714	10.524
29	15:57:13	87.13	158.15	222.5	22.675	10.523
30	15:57:34	87.13	158.15	222.5	22.675	10.522
31	15:57:54	87.13	158.15	222.5	22.555	10.523
32	15:58:14	87.13	158.15	222.5	22.674	10.523
33	15:58:34	87.13	158.15	222.5	22.674	10.521
34	15:58:52	87.13	158.15	222.5	22.713	10.522
35	15:59:10	87.13	158.15	222.5	22.716	10.522
36	15:59:28	87.13	158.15	222.5	22.718	10.523
37	15:59:46	87.13	158.15	222.5	22.713	10.523
38	16:00:06	87.13	158.15	222.5	22.555	10.523
39	16:00:26	87.13	158.15	222.5	22.675	10.519
40	16:00:46	87.13	158.15	222.5	22.674	10.521
41	16:01:07	87.13	158.15	222.5	22.675	10.522
42	16:01:27	87.13	158.15	222.5	22.675	10.519
43	16:01:47	87.13	158.15	222.5	22.674	10.519
44	16:02:07	87.13	158.15	222.5	22.675	10.521
45	16:02:28	87.13	158.15	222.5	22.675	10.521
46	16:02:46	87.13	158.15	222.5	22.713	10.518
47	16:03:06	87.13	158.15	222.5	22.674	10.518
48	16:03:23	87.13	158.15	222.5	22.713	10.518
49	16:03:43	87.13	158.15	222.5	22.675	10.519
50	16:04:04	87.13	158.15	222.5	22.674	10.519
51	16:04:24	87.13	158.15	222.5	22.675	10.516
52	16:04:44	87.13	158.15	222.5	22.674	10.517
53	16:05:04	87.13	158.15	222.5	22.674	10.519
54	16:05:25	87.13	158.15	222.5	22.675	10.516
55	16:05:45	87.13	158.15	222.5	22.675	10.517
56	16:06:05	87.13	158.15	222.5	22.674	10.517
57	16:06:26	87.13	158.15	222.5	22.675	10.518
58	16:06:46	87.13	158.15	222.5	22.674	10.519
59	16:07:06	87.13	158.15	222.5	22.675	10.521
60	16:07:26	87.13	158.15	222.5	22.675	10.519
61	16:07:47	87.13	158.15	222.5	22.675	10.52
62	16:08:07	87.13	158.15	222.5	22.674	10.519
63	16:08:27	87.13	158.15	222.5	22.675	10.52
64	16:08:48	87.13	158.15	222.5	22.675	10.518
65	16:09:05	87.13	158.15	222.5	22.713	10.518
66	16:09:26	87.13	158.15	222.5	22.675	10.519
67	16:09:43	87.13	158.15	222.5	22.713	10.519
68	16:10:04	87.13	158.15	222.5	22.674	10.52
69	16:10:24	87.13	158.15	222.5	22.675	10.518
70	16:10:44	87.13	158.15	222.5	22.674	10.517
71	16:11:05	87.13	158.15	222.5	22.675	10.517
72	16:11:25	87.13	158.15	222.5	22.555	10.519
73	16:11:43	87.13	158.15	222.5	22.713	10.519
74	16:12:03	87.13	158.15	222.5	22.675	10.519
75	16:12:23	87.13	158.15	222.5	22.675	10.519
76	16:12:43	87.13	158.15	222.5	22.674	10.519
77	16:13:01	87.13	158.15	222.5	22.713	10.516
78	16:13:21	87.13	158.15	222.5	22.675	10.516
79	16:13:41	87.13	158.15	222.5	22.675	10.516
80	16:13:59	87.13	158.15	222.5	22.713	10.516
81	16:14:19	87.13	158.15	222.5	22.674	10.519
82	16:14:40	87.13	158.15	222.5	22.674	10.519
83	16:15:00	87.13	158.15	222.5	22.674	10.517
84	16:15:20	87.13	158.15	222.5	22.675	10.519
85	16:15:40	87.13	158.15	222.5	22.675	10.519
86	16:16:01	87.13	158.15	222.5	22.675	10.519
87	16:16:21	87.13	158.15	222.5	22.675	10.519
88	16:16:41	87.13	158.15	222.5	22.674	10.518
89	16:17:02	87.13	158.15	222.5	22.675	10.519
90	16:17:22	87.13	158.15	222.5	22.675	10.518
91	16:17:42	87.13	158.15	222.5	22.555	10.519
92	16:18:02	87.13	158.15	222.5	22.674	10.519
93	16:18:23	87.13	158.15	222.5	22.674	10.519
94	16:18:43	87.13	158.15	222.5	22.675	10.517
95	16:19:03	87.13	158.15	222.5	22.674	10.517
96	16:19:23	87.13	158.15	222.5	22.675	10.516
97	16:19:44	87.13	158.15	222.5	22.675	10.517
98	16:20:04	87.13	158.15	222.5	22.674	10.519
99	16:20:24	87.13	158.15	222.5	22.674	10.517
