number	time	x	y	laser
0	15:13:11	87.13	158.15	10.506
1	15:13:22	87.13	158.15	10.515
2	15:13:33	87.13	158.15	10.505
3	15:13:44	87.13	158.15	10.506
4	15:13:56	87.13	158.15	10.508
5	15:14:07	87.13	158.15	10.504
6	15:14:18	87.13	158.15	10.502
7	15:14:30	87.13	158.15	10.504
8	15:14:41	87.13	158.15	10.506
9	15:14:52	87.13	158.15	10.503
10	15:15:04	87.13	158.15	10.505
11	15:15:15	87.13	158.15	10.501
12	15:15:26	87.13	158.15	10.501
13	15:15:37	87.13	158.15	10.502
14	15:15:49	87.13	158.15	10.499
15	15:16:00	87.13	158.15	10.501
16	15:16:11	87.13	158.15	10.501
17	15:16:23	87.13	158.15	10.502
18	15:16:34	87.13	158.15	10.501
19	15:16:45	87.13	158.15	10.502
20	15:16:56	87.13	158.15	10.503
21	15:17:08	87.13	158.15	10.504
22	15:17:19	87.13	158.15	10.504
23	15:17:30	87.13	158.15	10.504
24	15:17:42	87.13	158.15	10.504
25	15:17:53	87.13	158.15	10.504
26	15:18:04	87.13	158.15	10.502
27	15:18:16	87.13	158.15	10.504
28	15:18:27	87.13	158.15	10.504
29	15:18:38	87.13	158.15	10.504
30	15:18:50	87.13	158.15	10.504
31	15:19:01	87.13	158.15	10.505
32	15:19:12	87.13	158.15	10.505
33	15:19:23	87.13	158.15	10.505
34	15:19:35	87.13	158.15	10.505
35	15:19:46	87.13	158.15	10.508
36	15:19:57	87.13	158.15	10.507
37	15:20:08	87.13	158.15	10.508
38	15:20:20	87.13	158.15	10.507
39	15:20:31	87.13	158.15	10.505
40	15:20:42	87.13	158.15	10.506
41	15:20:54	87.13	158.15	10.505
42	15:21:05	87.13	158.15	10.506
43	15:21:17	87.13	158.15	10.505
44	15:21:28	87.13	158.15	10.505
45	15:21:39	87.13	158.15	10.505
46	15:21:51	87.13	158.15	10.505
47	15:22:02	87.13	158.15	10.505
48	15:22:13	87.13	158.15	10.504
49	15:22:25	87.13	158.15	10.504
50	15:22:36	87.13	158.15	10.502
51	15:22:47	87.13	158.15	10.501
52	15:22:59	87.13	158.15	10.501
53	15:23:10	87.13	158.15	10.5
54	15:23:21	87.13	158.15	10.498
55	15:23:33	87.13	158.15	10.497
56	15:23:44	87.13	158.15	10.495
57	15:23:56	87.13	158.15	10.495
58	15:24:07	87.13	158.15	10.494
59	15:24:18	87.13	158.15	10.493
60	15:24:30	87.13	158.15	10.492
61	15:24:41	87.13	158.15	10.494
62	15:24:52	87.13	158.15	10.494
63	15:25:04	87.13	158.15	10.494
64	15:25:15	87.13	158.15	10.497
65	15:25:26	87.13	158.15	10.498
66	15:25:38	87.13	158.15	10.497
67	15:25:49	87.13	158.15	10.498
68	15:26:00	87.13	158.15	10.497
69	15:26:12	87.13	158.15	10.496
70	15:26:23	87.13	158.15	10.496
71	15:26:34	87.13	158.15	10.498
72	15:26:46	87.13	158.15	10.496
73	15:26:57	87.13	158.15	10.497
74	15:27:08	87.13	158.15	10.498
75	15:27:20	87.13	158.15	10.497
76	15:27:31	87.13	158.15	10.498
77	15:27:42	87.13	158.15	10.499
78	15:27:54	87.13	158.15	10.499
79	15:28:05	87.13	158.15	10.499
80	15:28:16	87.13	158.15	10.498
81	15:28:28	87.13	158.15	10.5
82	15:28:39	87.13	158.15	10.499
83	15:28:50	87.13	158.15	10.5
84	15:29:02	87.13	158.15	10.498
85	15:29:13	87.13	158.15	10.498
86	15:29:24	87.13	158.15	10.5
87	15:29:36	87.13	158.15	10.498
88	15:29:47	87.13	158.15	10.498
89	15:29:58	87.13	158.15	10.495
90	15:30:10	87.13	158.15	10.495
91	15:30:21	87.13	158.15	10.497
92	15:30:32	87.13	158.15	10.497
93	15:30:44	87.13	158.15	10.498
94	15:30:55	87.13	158.15	10.498
95	15:31:06	87.13	158.15	10.498
96	15:31:18	87.13	158.15	10.498
97	15:31:29	87.13	158.15	10.498
98	15:31:40	87.13	158.15	10.498
99	15:31:52	87.13	158.15	10.498
