__GUI_RECORD_SESSION__
time of writing: 14:32:41
recorded time  : 0.913999795914 seconds 
_______________________________________
         time	  value	    avg	  sigma
1606224760.15	  0.309	  0.329	  0.015
1606224760.16	  0.309	  0.328	  0.015
1606224760.25	  0.301	  0.327	  0.015
1606224760.27	  0.301	  0.326	  0.015
1606224760.35	  0.301	  0.325	  0.015
1606224760.37	  0.301	  0.323	  0.015
1606224760.45	  0.315	  0.323	  0.015
1606224760.47	  0.315	  0.324	  0.015
1606224760.55	  0.315	  0.324	  0.015
1606224760.56	  0.315	  0.324	  0.015
1606224760.65	  0.291	  0.324	  0.015
1606224760.66	  0.291	  0.323	  0.016
1606224760.75	  0.291	  0.323	  0.016
1606224760.77	  0.291	  0.323	  0.017
1606224760.85	  0.301	  0.322	  0.017
1606224760.87	  0.301	  0.321	  0.017
1606224760.95	  0.301	  0.320	  0.018
1606224760.96	  0.301	  0.320	  0.018
1606224761.05	  0.321	  0.319	  0.018
1606224761.06	  0.321	  0.319	  0.017
_______________________________________
Max :		  0.321	  0.329	  0.018
Min :		  0.291	  0.319	  0.015
Mean:		  0.305	  0.323	  0.016
stdD:		  0.010	  0.003	  0.001
